epoch,train_avg_loss,train_avg_acc,train_precision_non_depression,train_recall_non_depression,train_f1_non_depression,train_precision_depression,train_recall_depression,train_f1_depression,train_macro_f1,val_avg_loss,val_avg_acc,val_macro_f1,val_auc,val_precision_non_depression,val_recall_non_depression,val_f1_non_depression,val_precision_depression,val_recall_depression,val_f1_depression,test_avg_loss,test_avg_acc,test_auc,test_precision_non_depression,test_recall_non_depression,test_f1_non_depression,test_precision_depression,test_recall_depression,test_f1_depression,test_macro_f1,test_cm_TN,test_cm_FP,test_cm_FN,test_cm_TP
1,0.6262,0.6849,0.699,0.9508,0.8057,0.4837,0.1012,0.1674,0.4866,0.5223,0.7832,0.5556,0.5965,0.8868,0.8608,0.8736,0.2181,0.2611,0.2377,,,,,,,,,,,,,,
2,0.6162,0.6802,0.7015,0.9295,0.7996,0.467,0.1351,0.2095,0.5045,0.4343,0.864,0.522,0.6083,0.8766,0.982,0.9263,0.3667,0.0701,0.1176,,,,,,,,,,,,,,
3,0.6113,0.6794,0.7046,0.917,0.7969,0.4701,0.1608,0.2396,0.5182,0.438,0.8557,0.5296,0.6079,0.8775,0.9697,0.9213,0.3043,0.0892,0.1379,,,,,,,,,,,,,,
4,0.6057,0.6914,0.7048,0.9477,0.8084,0.5281,0.1286,0.2068,0.5076,0.431,0.8549,0.5205,0.6115,0.8761,0.9706,0.9209,0.2791,0.0764,0.12,,,,,,,,,,,,,,
5,0.6115,0.6858,0.7064,0.9276,0.802,0.4978,0.1569,0.2386,0.5203,0.431,0.8607,0.5006,0.5802,0.8736,0.982,0.9247,0.2692,0.0446,0.0765,,,,,,,,,,,,,,
6,0.6044,0.6905,0.7065,0.9382,0.806,0.5286,0.151,0.2349,0.5205,0.4619,0.8351,0.5443,0.5965,0.8801,0.9384,0.9083,0.2529,0.1401,0.1803,,,,,,,,,,,,,,
7,0.5999,0.6879,0.7056,0.9371,0.805,0.5025,0.1397,0.2186,0.5118,0.4824,0.8277,0.5631,0.6068,0.8847,0.9223,0.9031,0.2679,0.1911,0.223,,,,,,,,,,,,,,
8,0.6005,0.6973,0.7129,0.935,0.809,0.5593,0.1796,0.2719,0.5404,0.5286,0.7824,0.555,0.5978,0.8867,0.8598,0.8731,0.2169,0.2611,0.237,,,,,,,,,,,,,,
9,0.6051,0.6918,0.7076,0.9389,0.807,0.5311,0.1514,0.2357,0.5213,0.5285,0.77,0.5541,0.5923,0.8881,0.8419,0.8644,0.2123,0.2866,0.2439,,,,,,,,,,,,,,
10,0.6031,0.6905,0.7067,0.9389,0.8064,0.522,0.1462,0.2284,0.5174,0.4466,0.8574,0.5391,0.5956,0.879,0.9697,0.9221,0.3333,0.1019,0.1561,,,,,,,,,,,,,,
11,0.6021,0.7029,0.7162,0.9388,0.8125,0.5847,0.188,0.2845,0.5485,0.5343,0.7955,0.5779,0.6203,0.893,0.8693,0.881,0.2541,0.2994,0.2749,,,,,,,,,,,,,,
12,0.5999,0.6905,0.7111,0.9245,0.8039,0.5198,0.1787,0.266,0.5349,0.5105,0.8021,0.561,0.5946,0.8864,0.8864,0.8864,0.2357,0.2357,0.2357,,,,,,,,,,,,,,
13,0.6006,0.6909,0.7089,0.9306,0.8048,0.5316,0.171,0.2587,0.5317,0.4713,0.8458,0.542,0.6082,0.8795,0.9536,0.915,0.2794,0.121,0.1689,,,,,,,,,,,,,,
14,0.6018,0.6948,0.7096,0.9401,0.8088,0.545,0.1571,0.2439,0.5263,0.4777,0.8285,0.5295,0.569,0.8772,0.9337,0.9046,0.2135,0.121,0.1545,,,,,,,,,,,,,,
15,0.6002,0.6982,0.7119,0.9414,0.8107,0.5628,0.1653,0.2555,0.5331,0.4473,0.8384,0.5218,0.5863,0.8759,0.9489,0.9109,0.2174,0.0955,0.1327,,,,,,,,,,,,,,
16,0.6035,0.6918,0.7073,0.9388,0.8068,0.5355,0.1537,0.2389,0.5228,0.4806,0.8533,0.5758,0.5955,0.8858,0.9545,0.9189,0.36,0.172,0.2328,,,,,,,,,,,,,,
17,0.6022,0.6866,0.7052,0.9332,0.8033,0.5046,0.1485,0.2295,0.5164,0.4707,0.8351,0.5509,0.6005,0.8815,0.9366,0.9082,0.2637,0.1529,0.1935,,,,,,,,,,,,,,
18,0.5965,0.6978,0.7133,0.9351,0.8093,0.5593,0.1798,0.2722,0.5407,0.4488,0.8491,0.5588,0.6089,0.8826,0.9536,0.9167,0.3194,0.1465,0.2009,,,,,,,,,,,,,,
19,0.6003,0.6978,0.7142,0.9319,0.8087,0.5587,0.1878,0.2811,0.5449,0.4982,0.8203,0.5626,0.5956,0.8851,0.9119,0.8983,0.256,0.2038,0.227,,,,,,,,,,,,,,
20,0.5967,0.7003,0.7145,0.9382,0.8112,0.5714,0.1801,0.2739,0.5425,0.4706,0.8351,0.5603,0.6031,0.8835,0.9337,0.9079,0.2784,0.172,0.2126,,,,,,,,,,,,,,
21,0.5952,0.6939,0.7083,0.942,0.8086,0.5441,0.1514,0.2369,0.5227,0.4416,0.8508,0.5381,0.5974,0.8788,0.9612,0.9181,0.2931,0.1083,0.1581,,,,,,,,,,,,,,
