epoch,train_avg_loss,train_avg_acc,train_precision_non_depression,train_recall_non_depression,train_f1_non_depression,train_precision_depression,train_recall_depression,train_f1_depression,train_macro_f1,val_avg_loss,val_avg_acc,val_macro_f1,val_auc,val_precision_non_depression,val_recall_non_depression,val_f1_non_depression,val_precision_depression,val_recall_depression,val_f1_depression,test_avg_loss,test_avg_acc,test_auc,test_precision_non_depression,test_recall_non_depression,test_f1_non_depression,test_precision_depression,test_recall_depression,test_f1_depression,test_macro_f1,test_cm_TN,test_cm_FP,test_cm_FN,test_cm_TP
1,0.6065,0.7033,0.7173,0.9598,0.821,0.4462,0.0788,0.1339,0.4775,0.4937,0.8144,0.5757,0.612,0.8901,0.8977,0.8939,0.2653,0.25,0.2574,,,,,,,,,,,,,,
2,0.5936,0.7049,0.7241,0.9431,0.8192,0.4742,0.125,0.1978,0.5085,0.4825,0.835,0.5632,0.6249,0.8849,0.9318,0.9077,0.28,0.1795,0.2188,,,,,,,,,,,,,,
3,0.5853,0.7077,0.7238,0.9503,0.8217,0.4914,0.1168,0.1888,0.5053,0.4641,0.8424,0.5534,0.5945,0.8824,0.9451,0.9127,0.284,0.1474,0.1941,,,,,,,,,,,,,,
4,0.5851,0.7085,0.724,0.9515,0.8223,0.4971,0.1168,0.1892,0.5058,0.425,0.8622,0.5065,0.5907,0.8751,0.982,0.9255,0.2963,0.0513,0.0874,,,,,,,,,,,,,,
5,0.5868,0.7033,0.7196,0.9526,0.8199,0.4551,0.0965,0.1592,0.4895,0.4481,0.8622,0.5551,0.6064,0.8822,0.9716,0.9247,0.3878,0.1218,0.1854,,,,,,,,,,,,,,
6,0.5832,0.7124,0.724,0.9604,0.8256,0.5298,0.1087,0.1804,0.503,0.4579,0.8358,0.5381,0.6057,0.8795,0.9403,0.9089,0.241,0.1282,0.1674,,,,,,,,,,,,,,
7,0.5782,0.7168,0.728,0.9587,0.8276,0.5595,0.1277,0.208,0.5178,0.4728,0.8457,0.5526,0.6007,0.8821,0.9498,0.9147,0.2933,0.141,0.1905,,,,,,,,,,,,,,
8,0.5817,0.7104,0.7223,0.9609,0.8247,0.5139,0.1005,0.1682,0.4964,0.454,0.8507,0.5601,0.6062,0.8834,0.9545,0.9176,0.3239,0.1474,0.2026,,,,,,,,,,,,,,
9,0.5758,0.7156,0.7328,0.9425,0.8245,0.5381,0.163,0.2503,0.5374,0.4116,0.8696,0.4947,0.5863,0.8742,0.9934,0.93,0.4167,0.0321,0.0595,,,,,,,,,,,,,,
10,0.5803,0.7172,0.7287,0.9576,0.8276,0.5607,0.1318,0.2134,0.5205,0.4249,0.863,0.4861,0.5856,0.8727,0.9867,0.9262,0.2222,0.0256,0.046,,,,,,,,,,,,,,
11,0.5805,0.7168,0.7266,0.9626,0.8281,0.5649,0.1182,0.1955,0.5118,0.4466,0.8589,0.5319,0.5955,0.8785,0.9725,0.9231,0.3256,0.0897,0.1407,,,,,,,,,,,,,,
12,0.5778,0.7203,0.7267,0.9704,0.8311,0.6074,0.1114,0.1883,0.5097,0.4606,0.8424,0.55,0.6022,0.8817,0.946,0.9127,0.2785,0.141,0.1872,,,,,,,,,,,,,,
13,0.5755,0.7172,0.726,0.9654,0.8287,0.5724,0.1128,0.1884,0.5086,0.4671,0.8432,0.5702,0.6036,0.8859,0.9413,0.9128,0.3111,0.1795,0.2276,,,,,,,,,,,,,,
