epoch,train_avg_loss,train_avg_acc,train_precision_non_depression,train_recall_non_depression,train_f1_non_depression,train_precision_depression,train_recall_depression,train_f1_depression,train_macro_f1,val_avg_loss,val_avg_acc,val_macro_f1,val_auc,val_precision_non_depression,val_recall_non_depression,val_f1_non_depression,val_precision_depression,val_recall_depression,val_f1_depression,test_avg_loss,test_avg_acc,test_auc,test_precision_non_depression,test_recall_non_depression,test_f1_non_depression,test_precision_depression,test_recall_depression,test_f1_depression,test_macro_f1,test_cm_TN,test_cm_FP,test_cm_FN,test_cm_TP
1,0.7162,0.6851,0.7123,0.9325,0.8076,0.3352,0.0829,0.1329,0.4703,0.3854,0.8713,0.4656,0.5111,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
2,0.6279,0.6958,0.7077,0.9727,0.8193,0.2462,0.0217,0.04,0.4296,0.5633,0.8713,0.4656,0.5008,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
3,0.6201,0.7081,0.7088,0.9983,0.829,0.25,0.0014,0.0027,0.4159,0.4293,0.8713,0.4656,0.5049,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
4,0.6172,0.7077,0.7088,0.9972,0.8287,0.2857,0.0027,0.0054,0.417,0.4021,0.8713,0.4656,0.504,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
5,0.6148,0.7089,0.7089,1.0,0.8296,0.0,0.0,0.0,0.4148,0.5333,0.8713,0.4656,0.4996,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
6,0.6205,0.7081,0.7086,0.9989,0.8291,0.0,0.0,0.0,0.4145,0.4262,0.8713,0.4656,0.5025,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
7,0.6152,0.7089,0.7089,1.0,0.8296,0.0,0.0,0.0,0.4148,0.481,0.8713,0.4656,0.5017,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
8,0.6134,0.7089,0.7089,1.0,0.8296,0.0,0.0,0.0,0.4148,0.4439,0.8713,0.4656,0.4993,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
9,0.6111,0.7089,0.7089,1.0,0.8296,0.0,0.0,0.0,0.4148,0.4365,0.8713,0.4656,0.5036,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
10,0.6117,0.7089,0.7089,1.0,0.8296,0.0,0.0,0.0,0.4148,0.4149,0.8713,0.4656,0.5023,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
11,0.6125,0.7089,0.7089,1.0,0.8296,0.0,0.0,0.0,0.4148,0.4604,0.8713,0.4656,0.506,0.8713,1.0,0.9312,0.0,0.0,0.0,,,,,,,,,,,,,,
