epoch,train_avg_loss,train_avg_acc,train_precision_non_depression,train_recall_non_depression,train_f1_non_depression,train_precision_depression,train_recall_depression,train_f1_depression,train_macro_f1,val_avg_loss,val_avg_acc,val_macro_f1,val_auc,val_precision_non_depression,val_recall_non_depression,val_f1_non_depression,val_precision_depression,val_recall_depression,val_f1_depression,test_avg_loss,test_avg_acc,test_auc,test_precision_non_depression,test_recall_non_depression,test_f1_non_depression,test_precision_depression,test_recall_depression,test_f1_depression,test_macro_f1,test_cm_TN,test_cm_FP,test_cm_FN,test_cm_TP
1,0.7302,0.5115,0.5283,0.5887,0.5569,0.4882,0.4274,0.4558,0.5063,0.6085,0.8669,0.4643,0.5058,0.8705,0.9952,0.9287,0,0,0,,,,,,,,,,,,,,
2,0.712,0.5037,0.5197,0.6349,0.5716,0.4757,0.3608,0.4104,0.491,0.5977,0.871,0.4655,0.5059,0.871,1,0.9311,0,0,0,,,,,,,,,,,,,,
3,0.7074,0.5129,0.5274,0.6337,0.5757,0.4887,0.3814,0.4284,0.502,0.6418,0.871,0.4655,0.5209,0.871,1,0.9311,0,0,0,,,,,,,,,,,,,,
4,0.705,0.5072,0.5211,0.6786,0.5895,0.478,0.3205,0.3837,0.4866,0.6389,0.871,0.4655,0.5215,0.871,1,0.9311,0,0,0,,,,,,,,,,,,,,
5,0.7039,0.5054,0.5206,0.6488,0.5777,0.4772,0.3491,0.4032,0.4904,0.7425,0.129,0.1142,0.4958,0,0,0,0.129,1,0.2284,,,,,,,,,,,,,,
6,0.7021,0.508,0.5208,0.7037,0.5986,0.4774,0.2949,0.3646,0.4816,0.6645,0.871,0.4655,0.5116,0.871,1,0.9311,0,0,0,,,,,,,,,,,,,,
7,0.7007,0.5159,0.5275,0.686,0.5964,0.4915,0.3306,0.3953,0.4958,0.8673,0.1323,0.1184,0.5524,1,0.0038,0.0076,0.1294,1,0.2291,,,,,,,,,,,,,,
8,0.7056,0.5043,0.5186,0.686,0.5907,0.4725,0.3063,0.3717,0.4812,0.6552,0.8702,0.4653,0.4717,0.8709,0.999,0.9306,0,0,0,,,,,,,,,,,,,,
9,0.7043,0.5036,0.5171,0.724,0.6033,0.4671,0.2635,0.3369,0.4701,0.6182,0.871,0.4655,0.5297,0.871,1,0.9311,0,0,0,,,,,,,,,,,,,,
10,0.7014,0.507,0.5194,0.7289,0.6066,0.4733,0.2653,0.34,0.4733,0.678,0.871,0.4655,0.5243,0.871,1,0.9311,0,0,0,,,,,,,,,,,,,,
11,0.6999,0.51,0.5215,0.7278,0.6077,0.4791,0.2727,0.3475,0.4776,0.6594,0.8702,0.4653,0.5225,0.8709,0.999,0.9306,0,0,0,,,,,,,,,,,,,,
12,0.7026,0.5064,0.5205,0.6736,0.5873,0.4769,0.3242,0.386,0.4866,0.6299,0.8669,0.4705,0.5343,0.8711,0.9943,0.9286,0.1429,0.0065,0.0123,,,,,,,,,,,,,,
13,0.6998,0.5092,0.5227,0.674,0.5888,0.4814,0.3297,0.3914,0.4901,0.5703,0.871,0.4655,0.5439,0.871,1,0.9311,0,0,0,,,,,,,,,,,,,,
14,0.6988,0.5174,0.5272,0.7203,0.6088,0.4931,0.2965,0.3703,0.4896,0.7018,0.2521,0.2518,0.5244,0.9111,0.1566,0.2673,0.136,0.8968,0.2362,,,,,,,,,,,,,,
15,0.6992,0.5133,0.5256,0.6816,0.5935,0.4875,0.3299,0.3935,0.4935,0.6912,0.5532,0.4479,0.5099,0.875,0.5683,0.6891,0.1341,0.4516,0.2068,,,,,,,,,,,,,,
16,0.6983,0.5106,0.5226,0.7081,0.6014,0.4817,0.2956,0.3663,0.4839,0.7279,0.129,0.1142,0.5155,0,0,0,0.129,1,0.2284,,,,,,,,,,,,,,
17,0.6996,0.5013,0.5172,0.6538,0.5776,0.4706,0.3352,0.3915,0.4845,0.7133,0.1298,0.1153,0.4981,1,0.001,0.0019,0.1291,1,0.2286,,,,,,,,,,,,,,
18,0.698,0.5094,0.522,0.7016,0.5986,0.48,0.3001,0.3693,0.484,0.5922,0.871,0.4655,0.5301,0.871,1,0.9311,0,0,0,,,,,,,,,,,,,,
19,0.6973,0.5105,0.5224,0.7146,0.6035,0.4811,0.2882,0.3605,0.482,0.6932,0.4817,0.4131,0.517,0.8746,0.4728,0.6138,0.1321,0.5419,0.2124,,,,,,,,,,,,,,
20,0.6968,0.5036,0.5183,0.6778,0.5874,0.4721,0.3139,0.3771,0.4822,0.6539,0.7779,0.5275,0.5538,0.8786,0.8644,0.8714,0.1744,0.1935,0.1835,,,,,,,,,,,,,,
21,0.6973,0.5101,0.5221,0.7112,0.6022,0.4805,0.291,0.3625,0.4823,0.6725,0.7953,0.5315,0.5043,0.8789,0.8873,0.8831,0.1862,0.1742,0.18,,,,,,,,,,,,,,
22,0.6962,0.5164,0.5267,0.7154,0.6067,0.4916,0.2997,0.3724,0.4895,0.5878,0.8686,0.4648,0.5592,0.8707,0.9971,0.9297,0,0,0,,,,,,,,,,,,,,
23,0.6984,0.5005,0.5159,0.6801,0.5868,0.4667,0.3049,0.3689,0.4778,0.697,0.376,0.3519,0.54,0.8837,0.3266,0.477,0.135,0.7097,0.2268,,,,,,,,,,,,,,
24,0.6957,0.5108,0.5254,0.64,0.577,0.4856,0.3702,0.4201,0.4986,0.6374,0.871,0.4655,0.5286,0.871,1,0.9311,0,0,0,,,,,,,,,,,,,,
25,0.697,0.508,0.523,0.6408,0.5759,0.4815,0.3633,0.4141,0.495,0.5791,0.812,0.506,0.5355,0.8728,0.9179,0.8948,0.1485,0.0968,0.1172,,,,,,,,,,,,,,
26,0.6975,0.5103,0.5229,0.6944,0.5966,0.482,0.3098,0.3771,0.4868,0.5833,0.8461,0.4885,0.5412,0.8716,0.9656,0.9162,0.1429,0.0387,0.0609,,,,,,,,,,,,,,
27,0.6954,0.5323,0.5397,0.7001,0.6095,0.5169,0.3496,0.4171,0.5133,0.6281,0.8037,0.52,0.5296,0.8758,0.9026,0.889,0.1707,0.1355,0.1511,,,,,,,,,,,,,,
28,0.6958,0.5215,0.5324,0.6759,0.5956,0.5002,0.3533,0.4141,0.5048,0.6578,0.7238,0.4981,0.5356,0.872,0.8004,0.8347,0.1328,0.2065,0.1616,,,,,,,,,,,,,,
29,0.6929,0.523,0.5349,0.6517,0.5876,0.5023,0.3828,0.4345,0.511,0.5729,0.8686,0.483,0.5168,0.8726,0.9943,0.9295,0.3333,0.0194,0.0366,,,,,,,,,,,,,,
30,0.6939,0.5276,0.5386,0.6559,0.5915,0.5086,0.3878,0.4401,0.5158,0.8251,0.1389,0.1276,0.5023,0.8333,0.0143,0.0282,0.1284,0.9806,0.227,,,,,,,,,,,,,,
31,0.6917,0.5305,0.5436,0.6192,0.579,0.5112,0.4338,0.4693,0.5242,0.6269,0.7978,0.5163,0.5399,0.875,0.8959,0.8853,0.1615,0.1355,0.1474,,,,,,,,,,,,,,
32,0.6903,0.538,0.55,0.6261,0.5856,0.5205,0.4421,0.4781,0.5318,0.7515,0.2953,0.2903,0.5125,0.8906,0.2178,0.35,0.1342,0.8194,0.2307,,,,,,,,,,,,,,
33,0.6914,0.5368,0.544,0.6896,0.6082,0.5228,0.3704,0.4336,0.5209,0.5682,0.8261,0.5071,0.5305,0.8734,0.936,0.9036,0.1625,0.0839,0.1106,,,,,,,,,,,,,,
34,0.6865,0.5542,0.5617,0.6604,0.607,0.5425,0.4386,0.4851,0.546,0.7562,0.4185,0.3838,0.5349,0.8955,0.3763,0.5299,0.143,0.7032,0.2377,,,,,,,,,,,,,,
35,0.6899,0.5369,0.5467,0.6551,0.596,0.5207,0.4082,0.4576,0.5268,0.6117,0.7146,0.5062,0.5313,0.8761,0.7832,0.827,0.1466,0.2516,0.1853,,,,,,,,,,,,,,
36,0.6786,0.5713,0.5743,0.6871,0.6256,0.5664,0.4453,0.4986,0.5621,0.616,0.7554,0.5197,0.5159,0.8776,0.8357,0.8562,0.161,0.2129,0.1833,,,,,,,,,,,,,,
37,0.6837,0.5653,0.5687,0.6885,0.6229,0.5596,0.4311,0.487,0.5549,0.6741,0.5849,0.456,0.518,0.8703,0.6151,0.7208,0.1277,0.3806,0.1912,,,,,,,,,,,,,,
38,0.6738,0.5753,0.5798,0.6736,0.6232,0.5684,0.4682,0.5134,0.5683,0.7276,0.4975,0.4206,0.5138,0.8735,0.4947,0.6317,0.1314,0.5161,0.2094,,,,,,,,,,,,,,
39,0.6723,0.5721,0.5743,0.6931,0.6281,0.5684,0.4402,0.4962,0.5622,0.5924,0.7463,0.4814,0.4725,0.8659,0.8386,0.852,0.1011,0.1226,0.1108,,,,,,,,,,,,,,
40,0.6757,0.5711,0.571,0.7133,0.6343,0.5713,0.4162,0.4816,0.5579,0.7327,0.505,0.4358,0.5277,0.8924,0.4909,0.6334,0.1486,0.6,0.2382,,,,,,,,,,,,,,
41,0.6749,0.5782,0.5771,0.715,0.6387,0.5803,0.4293,0.4935,0.5661,0.6512,0.7379,0.5088,0.5273,0.875,0.8157,0.8443,0.146,0.2129,0.1732,,,,,,,,,,,,,,
42,0.6868,0.5565,0.5604,0.6927,0.6196,0.5495,0.4082,0.4684,0.544,0.7367,0.5183,0.4509,0.5493,0.9062,0.4986,0.6433,0.1613,0.6516,0.2586,,,,,,,,,,,,,,
43,0.6761,0.5674,0.5687,0.7045,0.6294,0.565,0.418,0.4805,0.5549,0.615,0.7205,0.4962,0.5401,0.8715,0.7966,0.8323,0.1306,0.2065,0.16,,,,,,,,,,,,,,
44,0.671,0.5863,0.5859,0.7047,0.6398,0.5871,0.4574,0.5142,0.577,0.9374,0.302,0.2955,0.5359,0.8852,0.2283,0.3629,0.133,0.8,0.2282,,,,,,,,,,,,,,
45,0.6781,0.5597,0.561,0.7152,0.6288,0.5572,0.3903,0.4591,0.5439,0.6121,0.8486,0.4945,0.5449,0.8725,0.9675,0.9176,0.1707,0.0452,0.0714,,,,,,,,,,,,,,
46,0.6808,0.5625,0.5643,0.7051,0.6269,0.5589,0.4071,0.4711,0.549,0.6395,0.6489,0.4672,0.4884,0.8646,0.7077,0.7784,0.113,0.2516,0.156,,,,,,,,,,,,,,
47,0.6735,0.5733,0.5715,0.7257,0.6394,0.5768,0.4073,0.4775,0.5585,0.753,0.4251,0.3827,0.5365,0.8787,0.3945,0.5445,0.1339,0.6323,0.221,,,,,,,,,,,,,,
48,0.6661,0.5873,0.5853,0.7152,0.6438,0.5909,0.448,0.5096,0.5767,0.5801,0.7321,0.5133,0.5188,0.8772,0.8052,0.8396,0.1535,0.2387,0.1869,,,,,,,,,,,,,,
49,0.6654,0.5854,0.5794,0.7465,0.6525,0.5975,0.4098,0.4861,0.5693,0.7766,0.5058,0.4317,0.5317,0.8846,0.4976,0.6369,0.1419,0.5613,0.2266,,,,,,,,,,,,,,
50,0.666,0.5763,0.574,0.7266,0.6413,0.5807,0.4125,0.4824,0.5619,0.5963,0.7571,0.523,0.5532,0.8786,0.8367,0.8571,0.1659,0.2194,0.1889,,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,,,,,,,,0.6741,0.7568,0.5159,0.8566,0.8608,0.8587,0.1304,0.1265,0.1284,0.4936,"{0: 866, 1: 21}","{0: 140, 1: 145}","{0: 145, 1: 140}","{0: 21, 1: 866}"
