epoch,train_avg_loss,train_avg_acc,train_precision_non_depression,train_recall_non_depression,train_f1_non_depression,train_precision_depression,train_recall_depression,train_f1_depression,train_macro_f1,val_avg_loss,val_avg_acc,val_macro_f1,val_auc,val_precision_non_depression,val_recall_non_depression,val_f1_non_depression,val_precision_depression,val_recall_depression,val_f1_depression,test_avg_loss,test_avg_acc,test_auc,test_precision_non_depression,test_recall_non_depression,test_f1_non_depression,test_precision_depression,test_recall_depression,test_f1_depression,test_macro_f1,test_cm_TN,test_cm_FP,test_cm_FN,test_cm_TP
1,0.6077,0.7037,0.717,0.9615,0.8215,0.448,0.0761,0.1301,0.4758,0.4449,0.8556,0.5074,0.5961,0.8749,0.9735,0.9216,0.2432,0.0577,0.0933,,,,,,,,,,,,,,
2,0.5932,0.7037,0.7177,0.9593,0.8211,0.4511,0.0815,0.1381,0.4796,0.493,0.8309,0.5686,0.6091,0.8865,0.9242,0.905,0.2793,0.1987,0.2322,,,,,,,,,,,,,,
3,0.5929,0.7057,0.7204,0.9559,0.8216,0.4733,0.0965,0.1603,0.4909,0.4633,0.835,0.5571,0.602,0.8835,0.9337,0.9079,0.2708,0.1667,0.2063,,,,,,,,,,,,,,
4,0.5903,0.7037,0.7211,0.9492,0.8196,0.4615,0.106,0.1724,0.496,0.4998,0.8003,0.5573,0.5916,0.8861,0.8845,0.8853,0.2278,0.2308,0.2293,,,,,,,,,,,,,,
5,0.5854,0.7108,0.7282,0.9448,0.8224,0.5123,0.1413,0.2215,0.522,0.4496,0.8482,0.5401,0.6166,0.8798,0.9564,0.9165,0.2812,0.1154,0.1636,,,,,,,,,,,,,,
6,0.5871,0.7112,0.7256,0.9531,0.8239,0.5172,0.1223,0.1978,0.5109,0.4507,0.8391,0.5541,0.5948,0.8827,0.9403,0.9106,0.2759,0.1538,0.1975,,,,,,,,,,,,,,
7,0.5852,0.7136,0.7274,0.9531,0.8251,0.5333,0.1304,0.2096,0.5174,0.4733,0.8284,0.5362,0.6009,0.8792,0.9309,0.9043,0.2234,0.1346,0.168,,,,,,,,,,,,,,
8,0.5786,0.7132,0.7285,0.9492,0.8243,0.5285,0.1386,0.2196,0.522,0.4597,0.8416,0.5593,0.5876,0.8837,0.9422,0.912,0.2907,0.1603,0.2066,,,,,,,,,,,,,,
9,0.582,0.7104,0.7269,0.9475,0.8227,0.5104,0.1332,0.2112,0.5169,0.4742,0.8408,0.5418,0.5821,0.8802,0.946,0.9119,0.2597,0.1282,0.1717,,,,,,,,,,,,,,
10,0.585,0.7132,0.7271,0.9531,0.8249,0.5307,0.1291,0.2077,0.5163,0.4422,0.8639,0.4809,0.5677,0.8722,0.9886,0.9268,0.2,0.0192,0.0351,,,,,,,,,,,,,,
